chembl_id	accession	pref_name	organism	l1	l2	l3	l4	l5	l6	l7	l8
CHEMBL2364702	E0VRD2	Cytochrome P450	Pediculus humanus capitis	Enzyme	Oxidoreductase						
CHEMBL2364702	E0VSD4	Cytochrome P450	Pediculus humanus capitis	Enzyme	Oxidoreductase						
CHEMBL2364702	E0VSD5	Cytochrome P450	Pediculus humanus capitis	Enzyme	Oxidoreductase						
CHEMBL2364702	E0VUR0	Cytochrome P450	Pediculus humanus capitis	Enzyme	Oxidoreductase						
CHEMBL2364702	E0VUR1	Cytochrome P450	Pediculus humanus capitis	Enzyme	Oxidoreductase						
CHEMBL2364702	E0VV39	Cytochrome P450	Pediculus humanus capitis	Enzyme	Oxidoreductase						
CHEMBL2364702	E0VV52	Cytochrome P450	Pediculus humanus capitis	Enzyme	Oxidoreductase						
CHEMBL2364702	E0VV70	Cytochrome P450	Pediculus humanus capitis	Enzyme	Oxidoreductase						
CHEMBL2364702	E0VV72	Cytochrome P450	Pediculus humanus capitis	Enzyme	Oxidoreductase						
CHEMBL2364702	E0VXT9	Cytochrome P450	Pediculus humanus capitis	Enzyme	Oxidoreductase						
CHEMBL2364025	E0VY07	GABA-A receptor	Pediculus humanus	Ion channel	Ligand-gated ion channel						
CHEMBL2366428	E0VY79	Voltage-dependent L-type calcium channel, putative	Pediculus humanus subsp. corporis	Ion channel	Voltage-gated ion channel	Voltage-gated calcium channel					
CHEMBL2364702	E0VZW4	Cytochrome P450	Pediculus humanus capitis	Enzyme	Oxidoreductase						
